user_id,Recency,Frequency,R_score,F_score,segment
100,5,8,2,5,流失风险用户
10008,1,3,4,3,潜力用户
10009,0,10,5,5,高价值用户
10020,6,1,1,2,一般用户
10021,2,1,3,2,一般用户
10024,1,6,4,5,高价值用户
10027,2,3,3,3,一般用户
10034,0,4,5,4,高价值用户
10035,6,4,1,4,流失风险用户
10044,5,2,2,3,一般用户
10045,2,1,3,2,一般用户
10049,0,1,5,2,潜力用户
10053,4,1,2,2,一般用户
10057,1,5,4,4,高价值用户
10075,4,2,2,3,一般用户
10078,1,1,4,2,潜力用户
10086,4,2,2,3,一般用户
100002,3,1,3,2,一般用户
100009,1,2,4,3,潜力用户
100030,7,4,1,4,流失风险用户
100059,6,1,1,2,一般用户
100068,3,4,3,4,流失风险用户
100075,3,2,3,3,一般用户
100088,1,2,4,3,潜力用户
100091,0,3,5,3,潜力用户
100095,4,1,2,2,一般用户
100101,0,28,5,5,高价值用户
100103,1,1,4,2,潜力用户
100105,0,3,5,3,潜力用户
100107,0,3,5,3,潜力用户
100109,4,1,2,2,一般用户
100113,4,3,2,3,一般用户
100116,0,13,5,5,高价值用户
100128,1,2,4,3,潜力用户
100134,5,14,2,5,流失风险用户
100141,1,2,4,3,潜力用户
100164,4,1,2,2,一般用户
100173,0,8,5,5,高价值用户
100177,5,3,2,3,一般用户
100184,1,1,4,2,潜力用户
100186,1,5,4,4,高价值用户
100191,2,5,3,4,流失风险用户
100197,0,2,5,3,潜力用户
100204,5,5,2,4,流失风险用户
100215,1,3,4,3,潜力用户
100225,0,2,5,3,潜力用户
100227,0,1,5,2,潜力用户
100234,5,6,2,5,流失风险用户
100242,3,5,3,4,流失风险用户
100243,0,2,5,3,潜力用户
100249,5,2,2,3,一般用户
100257,0,6,5,5,高价值用户
100259,3,1,3,2,一般用户
100261,0,2,5,3,潜力用户
100264,1,2,4,3,潜力用户
100277,6,1,1,2,一般用户
100279,0,3,5,3,潜力用户
100284,5,1,2,2,一般用户
100285,1,1,4,2,潜力用户
100292,6,2,1,3,一般用户
100294,0,5,5,4,高价值用户
100307,3,2,3,3,一般用户
100308,5,1,2,2,一般用户
100313,1,1,4,2,潜力用户
100318,0,2,5,3,潜力用户
100324,5,2,2,3,一般用户
100339,7,1,1,2,一般用户
100340,2,3,3,3,一般用户
100346,3,1,3,2,一般用户
100356,0,6,5,5,高价值用户
100357,1,2,4,3,潜力用户
100363,5,2,2,3,一般用户
100370,0,2,5,3,潜力用户
100377,0,3,5,3,潜力用户
100388,0,3,5,3,潜力用户
100395,1,2,4,3,潜力用户
100401,7,2,1,3,一般用户
100428,5,1,2,2,一般用户
100440,0,1,5,2,潜力用户
100451,0,3,5,3,潜力用户
100453,0,1,5,2,潜力用户
100477,0,6,5,5,高价值用户
100483,1,6,4,5,高价值用户
100493,4,2,2,3,一般用户
100501,4,1,2,2,一般用户
100523,5,3,2,3,一般用户
100528,0,6,5,5,高价值用户
100531,2,2,3,3,一般用户
100540,3,4,3,4,流失风险用户
100561,1,2,4,3,潜力用户
100567,3,2,3,3,一般用户
100580,4,6,2,5,流失风险用户
100595,3,2,3,3,一般用户
100599,0,6,5,5,高价值用户
100600,1,3,4,3,潜力用户
100614,3,2,3,3,一般用户
100615,3,2,3,3,一般用户
100641,1,1,4,2,潜力用户
100663,1,4,4,4,高价值用户
100664,5,1,2,2,一般用户
100678,0,11,5,5,高价值用户
100688,4,2,2,3,一般用户
100700,6,2,1,3,一般用户
100702,3,1,3,2,一般用户
100712,4,1,2,2,一般用户
100719,7,1,1,2,一般用户
100734,1,2,4,3,潜力用户
100740,1,3,4,3,潜力用户
100757,2,3,3,3,一般用户
100760,6,3,1,3,一般用户
100762,2,2,3,3,一般用户
100772,0,2,5,3,潜力用户
100781,8,1,1,2,一般用户
100794,2,2,3,3,一般用户
100797,1,5,4,4,高价值用户
100800,1,1,4,2,潜力用户
100803,1,4,4,4,高价值用户
100812,2,5,3,4,流失风险用户
100814,0,2,5,3,潜力用户
100815,4,1,2,2,一般用户
100816,4,1,2,2,一般用户
100821,0,3,5,3,潜力用户
100822,1,2,4,3,潜力用户
100847,2,2,3,3,一般用户
100856,0,2,5,3,潜力用户
100860,0,6,5,5,高价值用户
100865,2,1,3,2,一般用户
100871,1,3,4,3,潜力用户
100877,7,1,1,2,一般用户
1000001,0,1,5,2,潜力用户
1000011,8,2,1,3,一般用户
1000027,0,2,5,3,潜力用户
1000028,0,4,5,4,高价值用户
1000037,2,5,3,4,流失风险用户
1000054,1,4,4,4,高价值用户
1000060,2,1,3,2,一般用户
1000061,0,3,5,3,潜力用户
1000070,5,1,2,2,一般用户
1000084,0,7,5,5,高价值用户
1000085,2,12,3,5,流失风险用户
1000103,0,4,5,4,高价值用户
1000115,0,7,5,5,高价值用户
1000134,1,3,4,3,潜力用户
1000135,5,1,2,2,一般用户
1000139,0,2,5,3,潜力用户
1000151,0,3,5,3,潜力用户
1000154,7,1,1,2,一般用户
1000165,1,2,4,3,潜力用户
1000169,3,1,3,2,一般用户
1000186,3,1,3,2,一般用户
1000191,1,5,4,4,高价值用户
1000194,4,1,2,2,一般用户
1000204,7,1,1,2,一般用户
1000209,5,3,2,3,一般用户
1000222,4,6,2,5,流失风险用户
1000228,3,5,3,4,流失风险用户
1000236,3,1,3,2,一般用户
1000251,5,3,2,3,一般用户
1000263,1,4,4,4,高价值用户
1000269,0,3,5,3,潜力用户
1000274,6,2,1,3,一般用户
1000282,6,1,1,2,一般用户
1000283,6,1,1,2,一般用户
1000291,3,2,3,3,一般用户
1000296,2,1,3,2,一般用户
1000313,0,5,5,4,高价值用户
1000317,7,2,1,3,一般用户
1000319,0,1,5,2,潜力用户
1000328,0,1,5,2,潜力用户
1000332,0,1,5,2,潜力用户
1000335,0,8,5,5,高价值用户
1000349,1,8,4,5,高价值用户
1000364,5,1,2,2,一般用户
1000374,8,3,1,3,一般用户
1000398,0,4,5,4,高价值用户
1000408,6,3,1,3,一般用户
1000417,0,11,5,5,高价值用户
1000420,5,1,2,2,一般用户
1000429,0,3,5,3,潜力用户
1000436,0,7,5,5,高价值用户
1000438,0,8,5,5,高价值用户
1000455,5,1,2,2,一般用户
1000485,3,1,3,2,一般用户
1000488,0,19,5,5,高价值用户
1000490,3,2,3,3,一般用户
1000497,3,1,3,2,一般用户
1000504,2,1,3,2,一般用户
1000505,2,6,3,5,流失风险用户
1000511,0,3,5,3,潜力用户
1000519,6,2,1,3,一般用户
1000520,1,3,4,3,潜力用户
1000538,0,2,5,3,潜力用户
1000539,2,1,3,2,一般用户
1000541,1,1,4,2,潜力用户
1000565,1,6,4,5,高价值用户
1000573,4,2,2,3,一般用户
1000581,4,3,2,3,一般用户
1000588,2,2,3,3,一般用户
1000590,0,2,5,3,潜力用户
1000596,4,3,2,3,一般用户
1000610,0,4,5,4,高价值用户
1000630,4,3,2,3,一般用户
1000636,2,8,3,5,流失风险用户
1000641,3,7,3,5,流失风险用户
1000647,7,1,1,2,一般用户
1000650,4,1,2,2,一般用户
1000659,2,4,3,4,流失风险用户
1000664,3,5,3,4,流失风险用户
1000676,1,3,4,3,潜力用户
1000684,0,10,5,5,高价值用户
1000686,2,1,3,2,一般用户
1000688,1,1,4,2,潜力用户
1000694,2,3,3,3,一般用户
1000703,4,2,2,3,一般用户
1000712,4,3,2,3,一般用户
1000715,2,3,3,3,一般用户
1000718,3,4,3,4,流失风险用户
1000722,4,1,2,2,一般用户
1000723,1,16,4,5,高价值用户
1000727,0,1,5,2,潜力用户
1000732,2,1,3,2,一般用户
1000735,1,3,4,3,潜力用户
1000738,7,1,1,2,一般用户
1000749,0,2,5,3,潜力用户
1000751,6,1,1,2,一般用户
1000772,0,1,5,2,潜力用户
1000792,2,5,3,4,流失风险用户
1000803,7,1,1,2,一般用户
1000807,0,5,5,4,高价值用户
1000810,1,1,4,2,潜力用户
1000811,3,2,3,3,一般用户
1000836,0,4,5,4,高价值用户
1000840,1,1,4,2,潜力用户
1000856,3,3,3,3,一般用户
1000857,4,1,2,2,一般用户
1000865,2,2,3,3,一般用户
1000866,7,1,1,2,一般用户
1000867,3,1,3,2,一般用户
1000872,2,4,3,4,流失风险用户
1000877,3,7,3,5,流失风险用户
1000878,2,4,3,4,流失风险用户
1000896,6,2,1,3,一般用户
1000911,0,5,5,4,高价值用户
1000916,2,2,3,3,一般用户
1000919,4,1,2,2,一般用户
1000922,4,1,2,2,一般用户
1000923,1,1,4,2,潜力用户
1000936,6,2,1,3,一般用户
1000937,2,4,3,4,流失风险用户
1000959,7,1,1,2,一般用户
1000962,3,3,3,3,一般用户
1000964,7,1,1,2,一般用户
1000984,3,1,3,2,一般用户
1001005,1,2,4,3,潜力用户
1001009,3,3,3,3,一般用户
1001017,5,2,2,3,一般用户
1001018,6,1,1,2,一般用户
1001024,4,2,2,3,一般用户
1001048,0,1,5,2,潜力用户
1001054,0,6,5,5,高价值用户
1001065,3,4,3,4,流失风险用户
1001081,1,5,4,4,高价值用户
1001088,8,2,1,3,一般用户
1001092,5,2,2,3,一般用户
1001099,2,5,3,4,流失风险用户
1001102,1,4,4,4,高价值用户
1001104,1,2,4,3,潜力用户
1001108,7,1,1,2,一般用户
1001120,3,4,3,4,流失风险用户
1001121,3,1,3,2,一般用户
1001131,0,4,5,4,高价值用户
1001138,0,2,5,3,潜力用户
1001145,1,5,4,4,高价值用户
1001148,0,1,5,2,潜力用户
1001151,2,3,3,3,一般用户
1001154,4,1,2,2,一般用户
1001185,4,2,2,3,一般用户
1001186,0,4,5,4,高价值用户
1001199,0,10,5,5,高价值用户
1001201,0,2,5,3,潜力用户
1001228,1,1,4,2,潜力用户
1001230,3,2,3,3,一般用户
1001232,3,4,3,4,流失风险用户
1001235,0,4,5,4,高价值用户
1001241,2,6,3,5,流失风险用户
1001248,7,3,1,3,一般用户
1001265,2,1,3,2,一般用户
1001270,1,2,4,3,潜力用户
1001301,6,1,1,2,一般用户
1001305,3,15,3,5,流失风险用户
1001313,1,1,4,2,潜力用户
1001326,1,5,4,4,高价值用户
1001327,4,1,2,2,一般用户
1001346,6,1,1,2,一般用户
1001347,2,3,3,3,一般用户
1001352,1,2,4,3,潜力用户
1001360,6,1,1,2,一般用户
1001373,3,5,3,4,流失风险用户
1001375,0,10,5,5,高价值用户
1001378,0,8,5,5,高价值用户
1001381,1,2,4,3,潜力用户
1001404,2,2,3,3,一般用户
1001419,2,7,3,5,流失风险用户
1001420,5,3,2,3,一般用户
1001421,3,2,3,3,一般用户
1001438,4,1,2,2,一般用户
1001441,0,2,5,3,潜力用户
1001444,1,3,4,3,潜力用户
1001460,3,1,3,2,一般用户
1001461,3,6,3,5,流失风险用户
1001466,0,5,5,4,高价值用户
1001472,7,5,1,4,流失风险用户
1001482,5,1,2,2,一般用户
1001489,5,1,2,2,一般用户
1001492,5,1,2,2,一般用户
1001512,2,1,3,2,一般用户
1001521,6,1,1,2,一般用户
1001524,0,1,5,2,潜力用户
1001531,0,2,5,3,潜力用户
1001532,1,3,4,3,潜力用户
1001534,7,1,1,2,一般用户
1001537,0,8,5,5,高价值用户
1001543,5,1,2,2,一般用户
1001545,0,10,5,5,高价值用户
1001551,0,1,5,2,潜力用户
1001557,1,1,4,2,潜力用户
1001562,3,2,3,3,一般用户
1001566,2,7,3,5,流失风险用户
1001569,5,2,2,3,一般用户
1001578,1,2,4,3,潜力用户
1001591,1,1,4,2,潜力用户
1001596,1,4,4,4,高价值用户
1001601,3,2,3,3,一般用户
1001606,2,1,3,2,一般用户
1001608,6,1,1,2,一般用户
1001618,7,1,1,2,一般用户
1001625,0,6,5,5,高价值用户
1001626,3,2,3,3,一般用户
1001628,3,1,3,2,一般用户
1001629,0,9,5,5,高价值用户
1001641,8,2,1,3,一般用户
1001652,0,4,5,4,高价值用户
1001654,2,2,3,3,一般用户
1001662,3,9,3,5,流失风险用户
1001667,1,2,4,3,潜力用户
1001673,4,2,2,3,一般用户
1001676,0,3,5,3,潜力用户
1001686,2,1,3,2,一般用户
1001688,6,1,1,2,一般用户
1001689,2,1,3,2,一般用户
1001697,1,1,4,2,潜力用户
1001700,3,2,3,3,一般用户
1001711,0,5,5,4,高价值用户
1001737,3,3,3,3,一般用户
1001744,5,1,2,2,一般用户
1001757,0,2,5,3,潜力用户
1001769,5,3,2,3,一般用户
1001771,7,1,1,2,一般用户
1001783,1,4,4,4,高价值用户
1001784,4,2,2,3,一般用户
1001788,4,3,2,3,一般用户
1001800,2,1,3,2,一般用户
1001803,4,2,2,3,一般用户
1001804,0,4,5,4,高价值用户
1001809,4,1,2,2,一般用户
1001823,3,1,3,2,一般用户
1001829,0,4,5,4,高价值用户
1001841,1,7,4,5,高价值用户
1001844,2,2,3,3,一般用户
1001847,7,3,1,3,一般用户
1001850,1,2,4,3,潜力用户
1001855,4,3,2,3,一般用户
1001856,1,8,4,5,高价值用户
1001860,2,4,3,4,流失风险用户
1001866,3,15,3,5,流失风险用户
1001870,1,2,4,3,潜力用户
1001872,5,2,2,3,一般用户
1001875,2,5,3,4,流失风险用户
1001876,0,2,5,3,潜力用户
1001877,1,3,4,3,潜力用户
1001879,0,2,5,3,潜力用户
1001882,0,1,5,2,潜力用户
1001891,3,2,3,3,一般用户
1001902,0,2,5,3,潜力用户
1001903,4,1,2,2,一般用户
1001908,2,2,3,3,一般用户
1001912,2,1,3,2,一般用户
1001915,1,5,4,4,高价值用户
1001917,3,3,3,3,一般用户
1001920,2,3,3,3,一般用户
1001921,0,6,5,5,高价值用户
1001944,3,4,3,4,流失风险用户
1001946,5,1,2,2,一般用户
1001947,1,1,4,2,潜力用户
1001952,0,2,5,3,潜力用户
1001967,0,3,5,3,潜力用户
1001981,7,1,1,2,一般用户
1001982,0,2,5,3,潜力用户
1001985,4,1,2,2,一般用户
1001988,0,4,5,4,高价值用户
1002005,3,1,3,2,一般用户
1002010,3,1,3,2,一般用户
1002020,0,4,5,4,高价值用户
1002031,0,16,5,5,高价值用户
1002032,3,4,3,4,流失风险用户
1002034,1,5,4,4,高价值用户
1002040,3,3,3,3,一般用户
1002042,0,7,5,5,高价值用户
1002044,4,1,2,2,一般用户
1002046,5,8,2,5,流失风险用户
1002058,5,1,2,2,一般用户
1002066,1,5,4,4,高价值用户
1002093,0,4,5,4,高价值用户
1002095,3,4,3,4,流失风险用户
1002118,2,3,3,3,一般用户
1002127,0,2,5,3,潜力用户
1002128,3,2,3,3,一般用户
1002132,5,5,2,4,流失风险用户
1002142,1,3,4,3,潜力用户
1002147,5,1,2,2,一般用户
1002166,0,10,5,5,高价值用户
1002172,7,2,1,3,一般用户
1002180,0,2,5,3,潜力用户
1002183,4,1,2,2,一般用户
1002185,1,7,4,5,高价值用户
1002188,0,3,5,3,潜力用户
1002191,3,3,3,3,一般用户
1002194,0,3,5,3,潜力用户
1002200,7,1,1,2,一般用户
1002201,1,5,4,4,高价值用户
1002202,5,3,2,3,一般用户
1002208,0,5,5,4,高价值用户
1002213,7,2,1,3,一般用户
1002218,0,2,5,3,潜力用户
1002222,1,11,4,5,高价值用户
1002226,2,4,3,4,流失风险用户
1002228,2,10,3,5,流失风险用户
1002237,1,9,4,5,高价值用户
1002246,0,8,5,5,高价值用户
1002251,1,5,4,4,高价值用户
1002254,1,2,4,3,潜力用户
1002257,0,2,5,3,潜力用户
1002260,2,1,3,2,一般用户
1002271,3,3,3,3,一般用户
1002291,8,1,1,2,一般用户
1002295,1,3,4,3,潜力用户
1002306,4,1,2,2,一般用户
1002307,0,10,5,5,高价值用户
1002311,0,2,5,3,潜力用户
1002315,0,1,5,2,潜力用户
1002316,4,2,2,3,一般用户
1002317,0,3,5,3,潜力用户
1002328,5,1,2,2,一般用户
1002330,4,3,2,3,一般用户
1002331,4,7,2,5,流失风险用户
1002339,5,1,2,2,一般用户
1002349,4,5,2,4,流失风险用户
1002350,1,2,4,3,潜力用户
1002358,0,10,5,5,高价值用户
1002375,0,1,5,2,潜力用户
1002387,2,7,3,5,流失风险用户
1002388,2,5,3,4,流失风险用户
1002392,1,3,4,3,潜力用户
1002413,7,5,1,4,流失风险用户
1002421,2,1,3,2,一般用户
1002426,2,1,3,2,一般用户
1002428,3,3,3,3,一般用户
1002435,7,3,1,3,一般用户
1002449,1,5,4,4,高价值用户
1002453,6,1,1,2,一般用户
1002460,8,2,1,3,一般用户
1002478,6,1,1,2,一般用户
1002479,2,1,3,2,一般用户
1002484,4,1,2,2,一般用户
1002494,5,1,2,2,一般用户
1002508,3,1,3,2,一般用户
1002512,0,1,5,2,潜力用户
1002520,0,4,5,4,高价值用户
1002526,3,7,3,5,流失风险用户
1002534,5,4,2,4,流失风险用户
1002542,1,1,4,2,潜力用户
1002547,1,1,4,2,潜力用户
1002564,2,2,3,3,一般用户
1002566,3,5,3,4,流失风险用户
1002574,0,2,5,3,潜力用户
1002578,0,4,5,4,高价值用户
1002587,2,5,3,4,流失风险用户
1002589,1,8,4,5,高价值用户
1002591,0,1,5,2,潜力用户
1002593,5,1,2,2,一般用户
1002597,1,2,4,3,潜力用户
1002618,0,7,5,5,高价值用户
1002637,1,7,4,5,高价值用户
1002642,0,1,5,2,潜力用户
1002661,1,1,4,2,潜力用户
1002672,1,3,4,3,潜力用户
1002684,0,2,5,3,潜力用户
1002685,2,4,3,4,流失风险用户
1002696,1,2,4,3,潜力用户
1002705,6,7,1,5,流失风险用户
1002714,1,3,4,3,潜力用户
1002725,5,2,2,3,一般用户
1002756,0,2,5,3,潜力用户
1002763,2,12,3,5,流失风险用户
1002766,3,1,3,2,一般用户
1002767,0,1,5,2,潜力用户
1002771,0,1,5,2,潜力用户
1002793,1,1,4,2,潜力用户
1002831,0,2,5,3,潜力用户
1002846,3,1,3,2,一般用户
1002847,1,3,4,3,潜力用户
1002862,0,2,5,3,潜力用户
1002878,0,3,5,3,潜力用户
1002886,4,7,2,5,流失风险用户
1002890,0,1,5,2,潜力用户
1002909,0,6,5,5,高价值用户
1002927,2,5,3,4,流失风险用户
1002928,2,5,3,4,流失风险用户
1002931,1,2,4,3,潜力用户
1002934,0,4,5,4,高价值用户
1002940,3,4,3,4,流失风险用户
1002943,1,2,4,3,潜力用户
1002970,0,6,5,5,高价值用户
1002975,2,1,3,2,一般用户
1002980,8,1,1,2,一般用户
1002992,1,2,4,3,潜力用户
1002996,8,1,1,2,一般用户
1003022,0,8,5,5,高价值用户
1003027,0,4,5,4,高价值用户
1003041,0,4,5,4,高价值用户
1003044,4,3,2,3,一般用户
1003047,4,2,2,3,一般用户
1003052,1,1,4,2,潜力用户
1003057,1,1,4,2,潜力用户
1003063,1,2,4,3,潜力用户
1003065,2,5,3,4,流失风险用户
1003071,2,1,3,2,一般用户
1003073,0,1,5,2,潜力用户
1003076,2,3,3,3,一般用户
1003093,3,1,3,2,一般用户
1003095,5,4,2,4,流失风险用户
1003110,6,2,1,3,一般用户
1003122,6,1,1,2,一般用户
1003123,0,1,5,2,潜力用户
1003124,8,1,1,2,一般用户
1003131,1,5,4,4,高价值用户
1003152,5,2,2,3,一般用户
1003157,3,2,3,3,一般用户
1003163,6,5,1,4,流失风险用户
1003171,0,2,5,3,潜力用户
1003176,1,2,4,3,潜力用户
1003177,3,6,3,5,流失风险用户
1003183,0,4,5,4,高价值用户
1003184,4,2,2,3,一般用户
1003190,1,1,4,2,潜力用户
1003191,2,6,3,5,流失风险用户
1003199,7,1,1,2,一般用户
1003200,0,5,5,4,高价值用户
1003221,8,1,1,2,一般用户
1003226,2,1,3,2,一般用户
1003227,3,1,3,2,一般用户
1003230,3,1,3,2,一般用户
1003239,0,3,5,3,潜力用户
1003249,0,6,5,5,高价值用户
1003250,0,1,5,2,潜力用户
1003264,0,3,5,3,潜力用户
1003273,0,4,5,4,高价值用户
1003274,5,1,2,2,一般用户
1003281,5,1,2,2,一般用户
1003283,2,1,3,2,一般用户
1003292,1,1,4,2,潜力用户
1003293,7,1,1,2,一般用户
1003296,1,2,4,3,潜力用户
1003298,8,1,1,2,一般用户
1003306,6,1,1,2,一般用户
1003319,2,3,3,3,一般用户
1003321,0,6,5,5,高价值用户
1003326,2,1,3,2,一般用户
1003329,6,2,1,3,一般用户
1003332,1,3,4,3,潜力用户
1003341,1,3,4,3,潜力用户
1003343,6,3,1,3,一般用户
1003348,0,1,5,2,潜力用户
1003351,0,5,5,4,高价值用户
1003359,7,1,1,2,一般用户
1003390,1,4,4,4,高价值用户
1003397,3,2,3,3,一般用户
1003410,1,2,4,3,潜力用户
1003422,0,3,5,3,潜力用户
1003428,1,8,4,5,高价值用户
1003432,5,1,2,2,一般用户
1003440,2,2,3,3,一般用户
1003457,3,1,3,2,一般用户
1003463,0,1,5,2,潜力用户
1003467,6,1,1,2,一般用户
1003475,7,1,1,2,一般用户
1003479,7,2,1,3,一般用户
1003492,2,2,3,3,一般用户
1003499,8,1,1,2,一般用户
1003509,0,4,5,4,高价值用户
1003510,0,7,5,5,高价值用户
1003512,7,1,1,2,一般用户
1003514,0,2,5,3,潜力用户
1003531,7,3,1,3,一般用户
1003550,4,2,2,3,一般用户
1003553,7,2,1,3,一般用户
1003559,0,4,5,4,高价值用户
1003561,0,4,5,4,高价值用户
1003562,0,4,5,4,高价值用户
1003571,4,2,2,3,一般用户
1003584,3,2,3,3,一般用户
1003586,1,5,4,4,高价值用户
1003598,3,1,3,2,一般用户
1003610,2,3,3,3,一般用户
1003611,3,6,3,5,流失风险用户
1003612,3,1,3,2,一般用户
1003627,0,2,5,3,潜力用户
1003628,0,4,5,4,高价值用户
1003629,2,1,3,2,一般用户
1003643,5,3,2,3,一般用户
1003656,0,6,5,5,高价值用户
1003685,8,1,1,2,一般用户
1003693,2,1,3,2,一般用户
1003703,4,2,2,3,一般用户
1003707,0,3,5,3,潜力用户
1003711,3,3,3,3,一般用户
1003716,0,9,5,5,高价值用户
1003724,2,5,3,4,流失风险用户
1003725,1,1,4,2,潜力用户
1003733,7,1,1,2,一般用户
1003740,2,3,3,3,一般用户
1003743,4,1,2,2,一般用户
1003748,0,1,5,2,潜力用户
1003756,4,1,2,2,一般用户
1003757,1,1,4,2,潜力用户
1003761,1,1,4,2,潜力用户
1003766,0,2,5,3,潜力用户
1003767,4,3,2,3,一般用户
1003781,1,5,4,4,高价值用户
1003782,0,2,5,3,潜力用户
1003792,3,1,3,2,一般用户
1003807,3,1,3,2,一般用户
1003821,0,2,5,3,潜力用户
1003826,0,10,5,5,高价值用户
1003837,2,6,3,5,流失风险用户
1003838,1,3,4,3,潜力用户
1003846,2,2,3,3,一般用户
1003855,8,1,1,2,一般用户
1003863,0,1,5,2,潜力用户
1003866,1,1,4,2,潜力用户
1003867,0,2,5,3,潜力用户
1003871,2,3,3,3,一般用户
1003875,7,1,1,2,一般用户
1003885,1,4,4,4,高价值用户
1003887,3,1,3,2,一般用户
1003893,0,1,5,2,潜力用户
1003894,5,1,2,2,一般用户
1003901,1,31,4,5,高价值用户
1003906,0,9,5,5,高价值用户
1003912,7,1,1,2,一般用户
1003914,5,1,2,2,一般用户
1003938,1,2,4,3,潜力用户
1003940,0,3,5,3,潜力用户
1003941,6,4,1,4,流失风险用户
1003947,6,1,1,2,一般用户
1003961,0,1,5,2,潜力用户
1003965,7,2,1,3,一般用户
1003975,1,5,4,4,高价值用户
1003979,4,2,2,3,一般用户
1003983,0,43,5,5,高价值用户
1003988,0,2,5,3,潜力用户
1003991,2,1,3,2,一般用户
1003993,1,1,4,2,潜力用户
1003998,1,2,4,3,潜力用户
1004001,0,1,5,2,潜力用户
1004002,0,1,5,2,潜力用户
1004019,1,2,4,3,潜力用户
1004020,4,1,2,2,一般用户
1004021,1,3,4,3,潜力用户
1004026,0,1,5,2,潜力用户
1004032,1,2,4,3,潜力用户
1004068,0,4,5,4,高价值用户
1004073,5,1,2,2,一般用户
1004075,1,4,4,4,高价值用户
1004082,0,2,5,3,潜力用户
1004087,8,2,1,3,一般用户
